Jaema C. Berman ,Addison Township Public Library,1440 Rochester Road,,Leonard,MI,48367-3555,mpresley@tln.lib.mi.us,2486287180,http://addison.lib.mi.us/,"M,Tu,Th 10-8; W 10-6; F,Sa 10-4",6351,2
Ms. Kay E. Hurd ,Almont District Library,213 West Saint Clair Street,,Almont,MI,48003-0517,almontdistrictlibrary@adlmi.org,8107983100,http://www.adlmi.org/,M-Th 10-8; F 10-5; Sa 10-2,6583,2
Ms. Margaret Smith ,Armada Free Public Library,73930 Church Street,,Armada,MI,48005-3331,smithm@libcoop.net,5867845921,http://www.armadalib.org/,"M,Tu 12-8; W,Th 9-8; F 9-5; Sa 10-2",5379,2
Ms. Diane K. Garlets ,Athens Community Library,106 East Burr Oak Street,P.O. Box 216,Athens,MI,49011-0216,athens_library@sbcglobal.net,2697294479,http://athenscl.michlibrary.org ,"M 9-6Tu,Th 12-7; W,F 12-6; Sa 9-1",4537,2
Ms. Marion P. Herrington ,Bad Axe District Library,200 South Hanselman Street,,Bad Axe,MI,48413-1479,mherrington@badaxelibrary.org,9892698538,http://www.badaxelibrary.org,M-F 12-9; Sa 1-5,6621,2
Ms. Marcia L. Laughlin ,Barryton Public Library,198 Northern Avenue,P.O. Box 215,Barryton,MI,49305-0215,info@barrytonlibrary.com,9893825288,http://www.barrytonlibrary.com/,Tu-F 9-6; Sa 9-1,4075,2
Ms. Carol A. Richardson ,Bridgman Public Library,4460 Lake Street,,Bridgman,MI,49106-9510,carol@bridgmanlibrary.com,2694653663,www.bridgmanlibrary.org,M-Th 10-8; F 10-5; Sa 10-4,5263,2
Ms. Shirley K. Wood ,Brown City Public Library,4207 Main Street,P.O. Box 58,Brown City,MI,48416-0058,bcplmi@greatlakes.net,8103462511,http://www.browncitylibrary.org/,"Tu,Th 10-5:30; W 12-9; F 11-5:30; Sa 9:30-1",4005,2
Ms. Laura J. Orlowski ,Camden Township Library,119 South Main Street,,Camden,MI,49232,camden@monroe.lib.mi.us,5173685554,http://www.camdenlibrary.org,"M,Th 10-5; Tu,F 1-7; Sa 9-1; W,Su Closed",4191,2
Ms. Gale L. Nelson ,Coleman Area Library,111 First Street,P.O. Box 515,Coleman,MI,48618-0515,library@tm.net,9894656398,http://www.colemanlibrary.org/,"Tu,W,F 9-5; Th 12:30-8:30; Sa 8-12",4622,2
Ms. Jane K. Moe ,Constantine Township Library,165 Canaris Street,,Constantine,MI,49042-1015,jmoe@monroe.lib.mi.us,2694357957,http://www.constantine.michlibrary.org/,"M,W-F 10-5; Tu,Th 10-7; Sa 10-3; Su 12-5 (Closed Su Memorial Day-Labor Day)",4986,2
Ms. Amanda J. Morningstar ,Deckerville Public Library,3542 North Main Street,,Deckerville,MI,48427-9638,deckervillelibrary@yahoo.com ,8103768015,deckervillelibrary.michlibrary.org,Tu10-7; W 10-7; F 10-7; Sa 10-1,4514,2
Ms. Joy A. Slee ,Dorothy Hull Library - Windsor Township,405 West Jefferson Street,,Dimondale,MI,48821-9551,jslee@cablespeed.com,5176460633,http://www.twp.windsor.mi.us/library/library.htm,"M,T,Th,F 1-5:30; W 1-8; Sa 9-2:30",6838,2
Ms. Kris T. Miller ,Dowling Public Library,1765 East Dowling Road,,Hastings,MI,49058-9332,dowlinglibrary@gmail.com,2697213743,http://www.dowlingpubliclibrary.com/,"M,Tu,W,F 1-6; Sa 10-2 Summer Hours (Memorial Day-Labor Day): M,Tu,W,F 12-6; Closed Th,Sa ",4869,2
Ms. Desta K. Ureel ,Dryden Township Library,5480 Main Street,P.O. Box 280,Dryden,MI,48428-0280,d.ureel@vlc.lib.mi.us,8107963586,www.drydentownshiplibrary.org,"M-Th 10-9; F,Sa 10-2",4768,2
