Ms. Susan M. Riegler ,Alden District Library,8751 Helena Road,,Alden,MI,49612-9703,aldenlib@torchlake.com,2313314318,http://www.aldenlib.info/,"M,W-F 9-5; Tu 9-8; Sa 9-12",1285,1
Rene Larson ,Ashley District Library,104 New Street,P.O. Box 6,Ashley,MI,48806-0006,rsteffen@bearnet.net,9898474283,http://www.bearnet.net/Startpage/dlibrary/,"M,Tu 8-11,12-5; Th 12-5 (Summer Hours Tu,W 9-12,12:30-3; Th 1:30-7)",3248,1
Ms. Barbara J. Cruickshank ,Beaver Island District Library,26400 Donegal Bay Road,,Beaver Island,MI,49782-0246,island.library@gmail.com,2314482701,,M-Sa 12-5,657,1
Ms. Linda C. Offenbecker ,Bellaire Public Library,111 South Bridge Street,P.O. Box 477,Bellaire,MI,49615-0477,bellairelibrary@torchlake.com,2315338814,http://www.bellairelibrary.org,Tu-Th 10-6; F 10-5; Sa 10-2,3769,1
Ms. Brenda L. Harrison ,Bellevue Township Library,212 North Main Street,,Bellevue,MI,49021-1234,bellvu@monroe.lib.mi.us,2697633369,,M-F 1-6 (Jun 5-Sep 5 M-F 1-5),3150,1
Ms. Cathy J. Carter ,Benzie Shores District Library,630 Main Street,P.O. Box 631,Frankfort,MI,49635-0631,bsdl@benzieshoreslibrary.org,2313524671,http://www.benzieshoreslibrary.org,"M,W 10-8; Tu,Th,F 10-5; Sa 10-2",3811,1
Ms. Marjorie Holland Porter ,Benzonia Public Library,891 Michigan Avenue,,Benzonia,MI,49616,portermh@benzonia.lib.mi.us,2318824111,http://www.benzonia.lib.mi.us/,"M,W,F 11-5; Tu,Th 11-7; Sa 11-3",3623,1
Ms. Sharon A. Baksic ,Bessemer Public Library,411 South Sophie Street,,Bessemer,MI,49911-1596,baksics@chartermi.net,9066670404,http://www.uproc.lib.mi.us/Bessemer/,M-Th 10:30-6:30; F 1-5:30; Sa 10-12 ,3081,1
Ms. Michelle A. Guerra ,Betsie Valley District Library,14731 Thompson Avenue,,Thompsonville,MI,49683-0185,bvdlibrary@acegroup.cc,2313782716,http://www.betsievalleydistrictlibrary.org/,"Tu,Th 11-5; W 2-7; F 2-6; Sa 10-2",2937,1
Rosemary Johnson ,Burlington Township Library,135 Elm Street,P.O. Box 39,Burlington,MI,49029-0039,rosemary@burlingtonlibrary.info,5177652702,,Tu 11-5; W 1-6; Th 1-5; Sa 9-12,1941,1
Ms. Mary A. Kennedy ,Burr Oak Township Library,220 South Second Street,P.O. Box 309,Burr Oak,MI,49030-0309,burroaktl@charterinternet.com,2694892906,http://woodlands.lib.mi.us/burr/burr.html,M 3-7; Tu 9-7; Th 12-6; F 12-5; Sa 9-12,2611,1
Ms. Wanda M. Tessmer ,Carp Lake Township Library,35349 Mall Circle Drive,P.O. Box 157,White Pine,MI,49971-0157,,9068855888,http://www.uproc.lib.mi.us/CarpLake/,M-F 3-7 (Jun 7-Sep 1 M-F 12:30-4:30),722,1
Mr. Richard T. Williams ,Central Lake District Library,7900 Maple Street,P.O. Box 397,Central Lake,MI,49622-0397,dickwilliams@centrallakelibrary.com,2315442517,http://centrallakelibrary.com,"M,Tu,Th,F 10-6; W 10-8; Sa 10-3 ",3879,1
Ms. Roxanne S. Ware ,Chase Township Public Library,8400 East North Street,P.O. Box 24,Chase,MI,49623-0024,chaselibrary@yahoo.com,2318329511,,"M,Th 11-7; F 1-4",1495,1
Ms. Grace A. Strauss ,Clinton Township Public Library,100 Brown Street,P.O. Box 530,Clinton,MI,49236-9700,gstrauss@clinton.lib.mi.us,5174564141,http://www.clinton.lib.mi.us/,M-Th 11-8; F 11-6; Sa 10-2 (Jun 1-Aug 31 M-Th 11-7; F 11-6; Sa 10-2),3604,1
,Colon Township Library,P.O. Box 9,,Colon,MI,49040-0009,pamiller@monroe.lib.mi.us,2694323958,http://colonlibrary.org,"Tu 9-7; W 9-5; Th 9-7; F,Sa 9-1",3803,1
Ms. Kay E. Montei ,Columbia Township Library,6456 Center Street,,Unionville,MI,48767,columbiatwplib@airadvantage.net,9896742651,http://www.columbiatwplibrary.org/ ,"M,Th 10-7; Tu,W 10-5; Sa 9-1",2373,1
Ms. Karen S. Walker ,Crooked Tree District Library,2203 Walloon Street,P.O. Box 518,Walloon Lake,MI,49796-0518,karenctdl@charterinternet.com,2315352111,http://www.crookedtreelibrary.org/,"M 4-8; Tu,W 10-5:30; Th 1:30-8; Sa 10-1",3953,1
Ms. Ashley C. Hawley ,Croton Township Library,8260 South Croton-Hardy Drive,,Newaygo,MI,49337,croah@llcoop.org,2316521615,http://www.croton.michlibrary.org,T 12-5; W 12-7; F 12-5; Sa 9-12,3228,1
Ms. Mary J. Thoreson ,Crystal Falls District Community Library,237 Superior Avenue,,Crystal Falls,MI,49920-1331,cflib@up.net,9068753344,http://www.uproc.lib.mi.us/CrystalFalls/,M-Th 9-7; F 9-4; Sa 10-2,3453,1
,Curtis Township Library,4884 Bamfield Road,,Glennie,MI,48737-9728,librarydirector@centurytel.net,9897352601,http://www.curtistownship.org,"Tu,W 11-6; Th 1-8; Sa 11-3",1236,1
Ms. Heather R. Doran ,Darcy Library of Beulah ,7238 Commercial Street,,Beulah,MI,49617-0469,beulah_library@sbcglobal.net,2318824037,http://www.darcylibraryofbeulah.org,"M,W,F 12-5; Tu,Th 12-7; Sa 9-1",3179,1
Ms. Carole I. Hiney ,DeTour Area School and Public Library,202 South Division Street,P.O. Box 429,Detour Village,MI,49725-0429,chiney@eup.k12.mi.us,9062972011,http://detour.eup.k12.mi.us/696442429142741/site/default.asp,"M,Tu,Th,F 8-3:30; W 8-8; Sa 10-2(Jun 7-Sep 6 Tu,Th 8-4; W 6-8; Sa 10-2)",2190,1
Ms. Janet L. Dyki ,Elk Township Library,29 East Lapeer Street,,Peck,MI,48466-0268,library@airadv.net,8103785409,http://www.elktwplibrary.org/,"T,Th 9-12,1-7; W,F 9-12,1-5; Sa 9-1",2769,1
Ms. Ann T. Trierweiler ,Elsie Public Library,PO Box 545,,Elsie,MI,48831,elsielibrary@mutualdata.com,9898624633,http://elsiepubliclibrary.org/ ,M 11-5; W 1-7; Th 1-7; Sa 10-2,3958,1
Mr. Larry H. Haubenstricker ,Fairgrove District Library,1959 Main Street,,Fairgrove,MI,48733-9568,larry@fairgrove.lib.mi.us,9896936050,,"M,W,F 9-8; Tu 9-1; Sa 10-1",3112,1
Ms. Margaret B. Rosenbrook ,Falmouth Area Library,219 East Prosper Road,P.O. Box 63,Falmouth,MI,49632-0602,rosenbrookm@gmail.com,2318263738,,Tu-Th 1-6;  Sa 9-1,882,1
Ms. Julie C. Kintner ,Fife Lake Public Library,77 Lakecrest Lane,,Fife Lake,MI,49633-9999,,2318794101,http://www.tadl.org/fifelake ,Tu/Th 12-8; W/F 9-5; Sa 9-3,2791,1
