Ms. Josie B. Parker ,Ann Arbor District Library,343 South Fifth Avenue,,Ann Arbor,MI,48104-2293,parkerj@aadl.org,7343274263,http://www.aadl.org,M 10-9; Tu-F 9-9; Sa 9-6; Su 12-6,163590,6
Mr. Thomas H. Birch ,Bay County Library System,500 Center Avenue,,Bay City,MI,48708,tbirch@baycountylibrary.org,9898942837,http://www.baycountylibrary.org,Admin Hours M-F 8-5,107681,6
Ms. Eva M. Davis ,Canton Public Library,1200 South Canton Center Road,,Canton,MI,48188,davise@cantonpl.org,7343970999,http://www.cantonpl.org,"M-Th 9-9; F,Sa 9-6; Su 12-6",90173,6
Ms. Maureen D. Hirten ,Capital Area District Library,401 South Capitol Avenue,P.O. Box 40719,Lansing,MI,48901-7919,hirtenm@cadl.org,5173676300,http://www.cadl.org,"M-Th 9-9; F,Sa 9-6, Su 1-6",238859,6
Ms. Lise H. Mitchell ,Chippewa River District Library System,301 South University,,Mount Pleasant,MI,48858-2524,lhmitch@crdl.org,9897733242,http://www.crdl.org,"M-Th 9-8; F,Sa 10-6:00; Su 1-5:00 (Labor Day through Memorial Day)",51640,6
Mr. Larry P. Neal ,Clinton-Macomb Public Library,40900 Romeo Plank Road,,Clinton Township,MI,48038-2955,lneal@cmpl.org,5862265011,http://www.cmpl.org,"M-Th 9-9; F,Sa 9-6; Su 1-6 (Jun 1-Sep 5 Closed Su)",169833,6
Mr. Michael P. Mccaffery ,Dearborn Heights City Libraries,Caroline Kennedy Library,24590 George Street,Dearborn Heights,MI,48127,mpmccaffery@gmail.com,3137913800,http://www.dhcl.michlibrary.org/,"M-Th 10-9; F,Sa 10-5; Su 12 (noon)-5",57774,6
Ms. Maryanne Bartles ,Dearborn Public Library,Henry Ford Centennial Library,16301 Michigan Avenue,Dearborn,MI,48126-2792,library@ci.dearborn.mi.us,3139432037,http://dearbornlibrary.org,"M-Th 9:30-8:30; F,Sa 9:30-5:30; Su 1-5 (Closed Sat & Sun June-August)",98153,6
Ms. Jo Anne G. Mondowney ,Detroit Public Library,5201 Woodward Avenue,,Detroit,MI,48202-4093,jmondowney@detroitpubliclibrary.org ,3134811400,http://www.detroitpubliclibrary.org,"Tu,W 12-8; Th-Sa 10-6",713777,6
Ms. Tina M. Theeke ,Farmington Community Library,32737 West Twelve Mile Road,,Farmington Hills,MI,48334-3302,Tina.Theeke@farmlib.org,2488484301,http://www.farmlib.org,M-Th 9am-9pm; F-Sa 10am-6pm; Su 1pm-5pm,90112,6
